species,decimallatitude,decimallongitude
Ardea alba,20.233349,85.72613
Ardea alba,18.60623,82.80184
Ardea alba,20.738617,86.86867
Ardea alba,19.848743,85.53611
Ardea alba,20.122295,86.42201
Ardea alba,19.663614,85.25136
Ardea alba,20.395077,85.854744
Ardea alba,20.019184,82.79602
Ardea alba,20.405357,85.61476
Ardea alba,20.23569,85.72644
Ardea alba,20.156025,85.76178
Ardea alba,20.60087,85.88726
Ardea alba,20.402628,85.81985
Ardea alba,20.391695,85.79023
Ardea alba,20.35349,85.48973
Ardea alba,19.665886,85.47474
Ardea alba,20.485638,85.90429
Ardea alba,20.520658,85.62586
Ardea alba,19.919027,85.425934
Ardea alba,20.46886,85.87579
Ardea alba,19.68922,85.29419
Ardea alba,18.47503,82.92701
Ardea alba,20.451021,85.802086
Ardea alba,20.130234,86.39688
Ardea alba,19.857996,82.99439
Ardea alba,20.462242,85.882744
Ardea alba,20.315811,86.61078
Ardea alba,20.833841,83.880516
Ardea alba,20.759798,84.5699
Ardea alba,19.925425,85.39514
Ardea alba,20.143398,83.42998
Ardea alba,20.681133,83.47597
Ardea alba,20.335936,86.26613
Ardea alba,19.605173,85.25789
Ardea alba,20.191814,85.85461
Ardea alba,19.894665,85.43474
Ardea alba,19.72175,85.52822
Ardea alba,20.232618,86.27238
Ardea alba,19.895138,85.4474
Ardea alba,20.63754,85.547295
Ardea alba,20.74897,87.00078
Ardea alba,20.61913,84.76169
Ardea alba,20.453918,85.581314
Ardea alba,19.514168,85.097435
Ardea alba,20.748392,86.86298
Ardea alba,19.85065,83.00486
Ardea alba,19.455362,85.14146
Ardea alba,19.702278,85.2285
Ardea alba,20.49454,85.90833
Ardea alba,19.887932,85.59415
Ardea alba,19.772951,85.4607
Ardea alba,20.493261,85.84067
Ardea alba,19.75285,85.5856
Ardea alba,20.308544,86.24003
Ardea alba,20.43561,85.60894
Ardea alba,20.423368,85.669
Ardea alba,20.113167,86.42491
Ardea alba,19.931698,86.28141
Ardea alba,19.6873,85.18442
Ardea alba,19.815641,85.82754
Ardea alba,19.663715,85.49913
Ardea alba,19.697998,85.48808
Ardea alba,20.326124,85.53841
Ardea alba,20.781052,86.37153
Ardea alba,20.239107,85.87748
Ardea alba,20.514368,85.921486
Ardea alba,20.600971,84.781235
Ardea alba,20.395319,85.834076
Ardea alba,20.397158,85.824265
Ardea alba,19.656507,85.43364
Ardea alba,18.558586,82.850975
Ardea alba,20.45069,85.60764
Ardea alba,20.609985,85.88126
Ardea alba,20.494183,84.89184
Ardea alba,19.514606,85.09391
Ardea alba,18.57143,82.95069
Ardea alba,20.317047,85.862404
Ardea alba,20.478777,85.900986
Ardea alba,20.94924,84.73056
Ardea alba,20.484032,85.90313
Ardea alba,19.969736,83.31114
Ardea alba,20.442596,85.89245
Ardea alba,19.84823,83.00305
Ardea alba,19.712845,85.19215
Ardea alba,19.666311,85.473076
Ardea alba,20.50907,85.793144
Ardea alba,19.803213,85.33028
Ardea alba,20.316647,85.86129
Ardea alba,20.678135,86.99022
Ardea alba,19.904232,85.439156
Ardea alba,19.915186,85.42757
Ardea alba,20.61034,85.88284
Ardea alba,20.648125,84.92363
Ardea alba,20.856602,83.897026
Ardea alba,19.913765,85.42982
Ardea alba,20.09379,85.986046
Ardea alba,20.645,86.94417
Ardea alba,20.80842,84.40732
Ardea alba,20.47635,85.905
Ardea alba,20.172955,85.706764
Ardea alba,19.919695,85.43201
Ardea alba,19.688578,85.2953
Ardea alba,21.443562,83.922585
Ardea alba,20.651876,86.78148
Ardea alba,21.021706,83.79503
Ardea alba,19.649137,85.44622
Ardea alba,18.574087,83.00298
Ardea alba,20.420858,85.724525
Ardea alba,20.479347,86.12325
Ardea alba,20.406013,85.6122
Ardea alba,20.494188,85.81847
Ardea alba,20.324057,85.86105
Ardea alba,19.980932,84.240585
Ardea alba,20.512897,82.636986
Ardea alba,19.928696,83.14623
Ardea alba,18.431314,82.94271
Ardea alba,19.91914,85.42561
Ardea alba,20.332153,85.7741
Ardea alba,19.89578,85.43911
Ardea alba,19.716766,85.19469
Ardea alba,20.610416,85.88141
Ardea alba,20.820936,83.85669
Ardea alba,20.238384,85.83374
Ardea alba,20.308931,86.309586
Ardea alba,19.743538,85.21134
Ardea alba,21.530615,83.87048
Ardea alba,20.931667,86.47482
Ardea alba,18.528793,82.98851
Ardea alba,19.596985,85.25181
Ardea alba,22.253052,84.90094
Ardea alba,20.557789,85.43477
Ardea alba,21.32285,86.90167
Ardea alba,21.007994,83.75737
Ardea alba,18.56928,82.98821
Ardea alba,19.717363,85.194496
Ardea alba,20.541746,85.86198
Ardea alba,19.896389,85.43772
Ardea alba,19.606358,82.82406
Ardea alba,19.853838,86.03898
Ardea alba,21.298798,83.341896
Ardea alba,21.45198,87.040665
Ardea alba,19.668306,84.684456
Ardea alba,19.792126,85.62772
Ardea alba,18.629297,82.92199
Ardea alba,19.124865,84.757286
Ardea alba,19.715178,85.51434
Ardea alba,20.265074,85.80487
Ardea alba,20.23373,86.27025
Ardea alba,19.920462,85.43248
Ardea alba,20.366251,86.238976
Ardea alba,19.896013,85.4386
Ardea alba,19.90306,82.79655
Ardea alba,20.404379,85.62114
Ardea alba,19.841288,85.383224
Ardea alba,20.441668,82.673615
Ardea alba,20.395834,83.15624
Ardea alba,20.843985,85.09981
Ardea alba,18.628588,82.90145
Ardea alba,21.261051,84.13645
Ardea alba,18.695766,82.93582
Ardea alba,19.667866,85.437485
Ardea alba,18.584476,82.954895
Ardea alba,18.77913,82.76532
Ardea alba,20.492537,86.417885
Ardea alba,19.783165,82.69883
Ardea alba,20.214079,85.79679
Ardea alba,20.445774,83.3531
Ardea alba,20.311472,85.79161
Ardea alba,20.347765,85.88605
Ardea alba,19.68896,85.28324
Ardea alba,19.890491,85.45566
Ardea alba,20.158077,85.7624
Ardea alba,20.449915,85.60697
Ardea alba,21.118229,85.55273
Ardea alba,21.535467,85.02878
Ardea alba,18.490807,82.87173
Ardea alba,21.8302,86.78932
Ardea alba,19.28914,83.88347
Ardea alba,19.51463,85.09359
Ardea alba,19.700624,85.307304
Ardea alba,21.65521,83.46393
Ardea alba,19.365017,85.01062
Ardea alba,19.688366,85.184265
