species,decimallatitude,decimallongitude
Ardea alba,19.858864,85.65066
Ardea alba,18.574738,82.929665
Ardea alba,20.771126,83.332115
Ardea alba,20.43506,86.16615
Ardea alba,20.04666,85.537445
Ardea alba,19.651358,82.58463
Ardea alba,20.072002,86.16921
Ardea alba,20.78869,85.27221
Ardea alba,18.735285,83.03026
Ardea alba,21.69443,83.89255
Ardea alba,19.752432,85.22915
Ardea alba,21.16236,83.24278
Ardea alba,20.612629,86.7721
Ardea alba,21.035124,84.63997
Ardea alba,21.426271,86.85549
Ardea alba,22.11238,86.090294
Ardea alba,20.361727,85.19501
Ardea alba,20.251757,85.64293
Ardea alba,20.806404,86.07182
Ardea alba,21.092995,84.11816
Ardea alba,21.910938,86.74898
Ardea alba,21.49467,85.53499
Ardea alba,18.757017,82.71423
Ardea alba,19.864359,83.17343
Ardea alba,20.706244,83.48777
Ardea alba,19.80949,83.05182
Ardea alba,19.829123,82.83763
Ardea alba,21.478851,87.07833
Ardea alba,21.446463,83.710335
Ardea alba,20.710022,86.136986
Ardea alba,19.80745,85.724
Ardea alba,20.724178,84.69042
Ardea alba,21.42721,85.05517
Ardea alba,20.18843,83.50829
Ardea alba,20.583485,86.0328
Ardea alba,21.387691,83.85325
Ardea alba,19.89525,85.50408
Ardea alba,19.289503,84.79054
Ardea alba,20.261281,86.632182
Ardea alba,20.002469,86.393415
Ardea alba,20.634617,86.30043
Ardea alba,21.13505,86.66803
Ardea alba,20.138712,86.19764
Ardea alba,19.858284,85.9355
Ardea alba,20.562359,84.954506
Ardea alba,21.79838,87.29012
Ardea alba,21.276785,85.42592
Ardea alba,20.952797,85.2414
Ardea alba,20.688938,84.649025
Ardea alba,18.14435,82.12653
Ardea alba,18.804262,82.7079
Ardea alba,20.505728,86.34175
Ardea alba,21.006514,86.29121
Ardea alba,20.952375,85.54297
Ardea alba,21.075956,85.57668
Ardea alba,21.205244,83.92688
Ardea alba,20.99855,85.66856
Ardea alba,20.699694,86.86993
Ardea alba,21.076817,85.37184
Ardea alba,21.672451,83.99242
Ardea alba,20.362328,85.71737
Ardea alba,20.771006,86.49607
Ardea alba,20.436602,85.797
Ardea alba,20.52959,86.44667
Ardea alba,21.058823,85.29643
Ardea alba,21.12895,85.404755
Ardea alba,17.820036,81.38536
Ardea alba,20.869335,85.324646
Ardea alba,21.861393,86.24399
Ardea alba,20.729357,84.34981
Ardea alba,19.990301,83.216095
Ardea alba,20.811413,84.771935
Ardea alba,20.446758,86.43219
Ardea alba,20.782131,85.72889
Ardea alba,20.785776,85.55144
Ardea alba,21.660465,83.7795
Ardea alba,21.078331,85.43538
Ardea alba,21.009623,85.5826
Ardea alba,21.455906,83.359055
Ardea alba,19.922375,83.33609
