,wc2.1_30s_bio_12,wc2.1_30s_elev,distance_to_water,ndvi
wc2.1_30s_bio_12,1.0,0.18807046355650117,-0.14300480304674032,0.09255305645661609
wc2.1_30s_elev,0.18807046355650117,1.0,0.3348032670781091,0.1055091256528319
distance_to_water,-0.14300480304674032,0.3348032670781091,1.0,0.31273751048393633
ndvi,0.09255305645661609,0.1055091256528319,0.31273751048393633,1.0
